"Screen_Tech","Labelled energy consumption (kWh/year)"
"LCD",52
"LCD",53
"LCD",59
"LCD",60
"LCD",62
"LCD",66
"LCD",67
"LCD",68
"LCD",76
"LCD",78
"LCD",82
"LCD",83
"LCD",84
"LCD",85
"LCD",87
"LCD",89
"LCD",90
"LCD",91
"LCD",92
"LCD",94
"LCD",95
"LCD",98
"LCD",99
"LCD",100
"LCD",101
"LCD",102
"LCD",103
"LCD",104
"LCD",105
"LCD",106
"LCD",107
"LCD",108
"LCD",112
"LCD",116
"LCD",118
"LCD",119
"LCD",120
"LCD",121
"LCD",127
"LCD",128
"LCD",129
"LCD",130
"LCD",131
"LCD",132
"LCD",145
"LCD",149
"LCD",150
"LCD",151
"LCD",154
"LCD",155
"LCD",157
"LCD",165
"LCD",170
"LCD",172
"LCD",175
"LCD",176
"LCD",178
"LCD",180
"LCD",181
"LCD",186
"LCD",188
"LCD",189
"LCD",191
"LCD",196
"LCD",199
"LCD",203
"LCD",204
"LCD",205
"LCD",212
"LCD",220
"LCD",221
"LCD",225
"LCD",226
"LCD",230
"LCD",234
"LCD",235
"LCD",240
"LCD",245
"LCD",246
"LCD",252
"LCD",253
"LCD",254
"LCD",256
"LCD",260
"LCD",267
"LCD",269
"LCD",272
"LCD",275
"LCD",277
"LCD",278
"LCD",280
"LCD",284
"LCD",294
"LCD",296
"LCD",298
"LCD",299
"LCD",301
"LCD",305
"LCD",311
"LCD",313
"LCD",315
"LCD",316
"LCD",320
"LCD",321
"LCD",323
"LCD",330
"LCD",331
"LCD",333
"LCD",337
"LCD",339
"LCD",340
"LCD",345
"LCD",346
"LCD",348
"LCD",349
"LCD",350
"LCD",353
"LCD",354
"LCD",358
"LCD",360
"LCD",365
"LCD",368
"LCD",370
"LCD",371
"LCD",372
"LCD",374
"LCD",375
"LCD",376
"LCD",378
"LCD",380
"LCD",382
"LCD",385
"LCD",391
"LCD",395
"LCD",396
"LCD",397
"LCD",400
"LCD",403
"LCD",404
"LCD",405
"LCD",407
"LCD",409
"LCD",413
"LCD",415
"LCD",416
"LCD",420
"LCD",422
"LCD",426
"LCD",430
"LCD",433
"LCD",434
"LCD",439
"LCD",442
"LCD",450
"LCD",455
"LCD",456
"LCD",460
"LCD",461
"LCD",463
"LCD",464
"LCD",465
"LCD",467
"LCD",468
"LCD",476
"LCD",477
"LCD",478
"LCD",479
"LCD",480
"LCD",485
"LCD",490
"LCD",505
"LCD",512
"LCD",515
"LCD",516
"LCD",530
"LCD",532
"LCD",540
"LCD",542
"LCD",550
"LCD",554
"LCD",561
"LCD",568
"LCD",572
"LCD",580
"LCD",592
"LCD",595
"LCD",600
"LCD",608
"LCD",610
"LCD",612
"LCD",619
"LCD",626
"LCD",630
"LCD",638
"LCD",642
"LCD",667
"LCD",680
"LCD",681
"LCD",692
"LCD",695
"LCD",720
"LCD",725
"LCD",743
"LCD",750
"LCD",756
"LCD",758
"LCD",763
"LCD",810
"LCD",811
"LCD",813
"LCD",818
"LCD",823
"LCD",832
"LCD",834
"LCD",840
"LCD",855
"LCD",858
"LCD",949
"LCD",980
"LCD",1159
"LCD",1170
"LCD (LED)",51
"LCD (LED)",56
"LCD (LED)",58
"LCD (LED)",59
"LCD (LED)",60
"LCD (LED)",61
"LCD (LED)",62
"LCD (LED)",65
"LCD (LED)",66
"LCD (LED)",67
"LCD (LED)",68
"LCD (LED)",69
"LCD (LED)",70
"LCD (LED)",72
"LCD (LED)",74
"LCD (LED)",75
"LCD (LED)",76
"LCD (LED)",77
"LCD (LED)",78
"LCD (LED)",79
"LCD (LED)",80
"LCD (LED)",82
"LCD (LED)",83
"LCD (LED)",84
"LCD (LED)",85
"LCD (LED)",86
"LCD (LED)",89
"LCD (LED)",90
"LCD (LED)",91
"LCD (LED)",92
"LCD (LED)",93
"LCD (LED)",94
"LCD (LED)",95
"LCD (LED)",96
"LCD (LED)",97
"LCD (LED)",98
"LCD (LED)",99
"LCD (LED)",100
"LCD (LED)",101
"LCD (LED)",102
"LCD (LED)",104
"LCD (LED)",105
"LCD (LED)",106
"LCD (LED)",107
"LCD (LED)",108
"LCD (LED)",109
"LCD (LED)",110
"LCD (LED)",112
"LCD (LED)",114
"LCD (LED)",115
"LCD (LED)",116
"LCD (LED)",118
"LCD (LED)",119
"LCD (LED)",120
"LCD (LED)",121
"LCD (LED)",122
"LCD (LED)",123
"LCD (LED)",124
"LCD (LED)",125
"LCD (LED)",126
"LCD (LED)",127
"LCD (LED)",130
"LCD (LED)",131
"LCD (LED)",132
"LCD (LED)",133
"LCD (LED)",134
"LCD (LED)",135
"LCD (LED)",137
"LCD (LED)",138
"LCD (LED)",138.5
"LCD (LED)",140
"LCD (LED)",141
"LCD (LED)",144
"LCD (LED)",145
"LCD (LED)",146
"LCD (LED)",148
"LCD (LED)",149
"LCD (LED)",150
"LCD (LED)",151
"LCD (LED)",152
"LCD (LED)",154
"LCD (LED)",155
"LCD (LED)",158
"LCD (LED)",159
"LCD (LED)",160
"LCD (LED)",161
"LCD (LED)",162
"LCD (LED)",163
"LCD (LED)",165
"LCD (LED)",166
"LCD (LED)",167
"LCD (LED)",170
"LCD (LED)",171
"LCD (LED)",172
"LCD (LED)",173
"LCD (LED)",174
"LCD (LED)",175
"LCD (LED)",176
"LCD (LED)",177
"LCD (LED)",178
"LCD (LED)",179
"LCD (LED)",180
"LCD (LED)",181
"LCD (LED)",182
"LCD (LED)",183
"LCD (LED)",184
"LCD (LED)",185
"LCD (LED)",188
"LCD (LED)",189
"LCD (LED)",190
"LCD (LED)",193
"LCD (LED)",194
"LCD (LED)",195
"LCD (LED)",196
"LCD (LED)",197
"LCD (LED)",198
"LCD (LED)",199
"LCD (LED)",200
"LCD (LED)",202
"LCD (LED)",203
"LCD (LED)",204
"LCD (LED)",205
"LCD (LED)",206
"LCD (LED)",207
"LCD (LED)",208
"LCD (LED)",210
"LCD (LED)",211
"LCD (LED)",212
"LCD (LED)",214
"LCD (LED)",215
"LCD (LED)",216
"LCD (LED)",217
"LCD (LED)",218
"LCD (LED)",218.4
"LCD (LED)",220
"LCD (LED)",221
"LCD (LED)",223
"LCD (LED)",224
"LCD (LED)",225
"LCD (LED)",226
"LCD (LED)",227
"LCD (LED)",229
"LCD (LED)",230
"LCD (LED)",233
"LCD (LED)",235
"LCD (LED)",236
"LCD (LED)",237
"LCD (LED)",238
"LCD (LED)",239
"LCD (LED)",240
"LCD (LED)",242
"LCD (LED)",243
"LCD (LED)",244
"LCD (LED)",247
"LCD (LED)",248
"LCD (LED)",250
"LCD (LED)",251
"LCD (LED)",252
"LCD (LED)",253
"LCD (LED)",254
"LCD (LED)",255
"LCD (LED)",256
"LCD (LED)",257
"LCD (LED)",258
"LCD (LED)",259
"LCD (LED)",260
"LCD (LED)",261
"LCD (LED)",262
"LCD (LED)",263
"LCD (LED)",264
"LCD (LED)",265
"LCD (LED)",266
"LCD (LED)",267
"LCD (LED)",268
"LCD (LED)",269
"LCD (LED)",270
"LCD (LED)",271
"LCD (LED)",272
"LCD (LED)",273
"LCD (LED)",275
"LCD (LED)",276
"LCD (LED)",277
"LCD (LED)",278
"LCD (LED)",279
"LCD (LED)",280
"LCD (LED)",281
"LCD (LED)",282
"LCD (LED)",283
"LCD (LED)",284
"LCD (LED)",285
"LCD (LED)",286
"LCD (LED)",287
"LCD (LED)",288
"LCD (LED)",290
"LCD (LED)",291
"LCD (LED)",293
"LCD (LED)",294
"LCD (LED)",295
"LCD (LED)",296
"LCD (LED)",297
"LCD (LED)",298
"LCD (LED)",299
"LCD (LED)",300
"LCD (LED)",301
"LCD (LED)",302
"LCD (LED)",303
"LCD (LED)",304
"LCD (LED)",305
"LCD (LED)",306
"LCD (LED)",307
"LCD (LED)",309
"LCD (LED)",310
"LCD (LED)",312
"LCD (LED)",313
"LCD (LED)",315
"LCD (LED)",317
"LCD (LED)",318
"LCD (LED)",319
"LCD (LED)",320
"LCD (LED)",321
"LCD (LED)",322
"LCD (LED)",323
"LCD (LED)",324
"LCD (LED)",327
"LCD (LED)",328
"LCD (LED)",329
"LCD (LED)",330
"LCD (LED)",331
"LCD (LED)",332
"LCD (LED)",333
"LCD (LED)",334
"LCD (LED)",335
"LCD (LED)",336
"LCD (LED)",338
"LCD (LED)",339
"LCD (LED)",340
"LCD (LED)",341
"LCD (LED)",342
"LCD (LED)",343
"LCD (LED)",345
"LCD (LED)",346
"LCD (LED)",347
"LCD (LED)",348
"LCD (LED)",349
"LCD (LED)",350
"LCD (LED)",352
"LCD (LED)",353
"LCD (LED)",354
"LCD (LED)",356
"LCD (LED)",357
"LCD (LED)",360
"LCD (LED)",361
"LCD (LED)",362
"LCD (LED)",364
"LCD (LED)",365
"LCD (LED)",366
"LCD (LED)",367
"LCD (LED)",368
"LCD (LED)",369
"LCD (LED)",370
"LCD (LED)",371
"LCD (LED)",372
"LCD (LED)",373
"LCD (LED)",375
"LCD (LED)",376
"LCD (LED)",378
"LCD (LED)",379
"LCD (LED)",380
"LCD (LED)",381
"LCD (LED)",382
"LCD (LED)",383
"LCD (LED)",385
"LCD (LED)",386
"LCD (LED)",389
"LCD (LED)",390
"LCD (LED)",391
"LCD (LED)",393
"LCD (LED)",394
"LCD (LED)",395
"LCD (LED)",396
"LCD (LED)",397
"LCD (LED)",398
"LCD (LED)",399
"LCD (LED)",400
"LCD (LED)",401
"LCD (LED)",402
"LCD (LED)",404
"LCD (LED)",405
"LCD (LED)",408
"LCD (LED)",409
"LCD (LED)",410
"LCD (LED)",411
"LCD (LED)",412
"LCD (LED)",413
"LCD (LED)",415
"LCD (LED)",416
"LCD (LED)",419
"LCD (LED)",420
"LCD (LED)",421
"LCD (LED)",422
"LCD (LED)",423
"LCD (LED)",424
"LCD (LED)",425
"LCD (LED)",426
"LCD (LED)",427
"LCD (LED)",429
"LCD (LED)",430
"LCD (LED)",431
"LCD (LED)",432
"LCD (LED)",433
"LCD (LED)",435
"LCD (LED)",437
"LCD (LED)",439
"LCD (LED)",440
"LCD (LED)",441
"LCD (LED)",442
"LCD (LED)",443
"LCD (LED)",444
"LCD (LED)",446
"LCD (LED)",448
"LCD (LED)",449
"LCD (LED)",450
"LCD (LED)",451
"LCD (LED)",452
"LCD (LED)",453
"LCD (LED)",454
"LCD (LED)",456
"LCD (LED)",457
"LCD (LED)",458
"LCD (LED)",459
"LCD (LED)",460
"LCD (LED)",461
"LCD (LED)",462
"LCD (LED)",463
"LCD (LED)",464
"LCD (LED)",465
"LCD (LED)",466
"LCD (LED)",467
"LCD (LED)",468
"LCD (LED)",469
"LCD (LED)",470
"LCD (LED)",471
"LCD (LED)",474
"LCD (LED)",475
"LCD (LED)",476
"LCD (LED)",477
"LCD (LED)",478
"LCD (LED)",480
"LCD (LED)",481
"LCD (LED)",482
"LCD (LED)",483
"LCD (LED)",484
"LCD (LED)",485
"LCD (LED)",487
"LCD (LED)",488
"LCD (LED)",489
"LCD (LED)",492
"LCD (LED)",496
"LCD (LED)",499
"LCD (LED)",500
"LCD (LED)",502
"LCD (LED)",503
"LCD (LED)",504
"LCD (LED)",506
"LCD (LED)",507
"LCD (LED)",510
"LCD (LED)",511
"LCD (LED)",514
"LCD (LED)",515
"LCD (LED)",517
"LCD (LED)",518
"LCD (LED)",520
"LCD (LED)",521
"LCD (LED)",523
"LCD (LED)",525
"LCD (LED)",527
"LCD (LED)",528
"LCD (LED)",529
"LCD (LED)",530
"LCD (LED)",532
"LCD (LED)",533
"LCD (LED)",535
"LCD (LED)",536
"LCD (LED)",537
"LCD (LED)",538
"LCD (LED)",539
"LCD (LED)",540
"LCD (LED)",541
"LCD (LED)",543
"LCD (LED)",544
"LCD (LED)",546
"LCD (LED)",547
"LCD (LED)",549
"LCD (LED)",550
"LCD (LED)",551
"LCD (LED)",553
"LCD (LED)",554
"LCD (LED)",555
"LCD (LED)",557
"LCD (LED)",558
"LCD (LED)",560
"LCD (LED)",561
"LCD (LED)",562
"LCD (LED)",565
"LCD (LED)",568
"LCD (LED)",569
"LCD (LED)",571
"LCD (LED)",572
"LCD (LED)",574
"LCD (LED)",575
"LCD (LED)",576
"LCD (LED)",579
"LCD (LED)",580
"LCD (LED)",581
"LCD (LED)",587
"LCD (LED)",589
"LCD (LED)",590
"LCD (LED)",593
"LCD (LED)",594
"LCD (LED)",596
"LCD (LED)",598
"LCD (LED)",599
"LCD (LED)",600
"LCD (LED)",601
"LCD (LED)",605
"LCD (LED)",608
"LCD (LED)",609
"LCD (LED)",610
"LCD (LED)",612
"LCD (LED)",613
"LCD (LED)",616
"LCD (LED)",617
"LCD (LED)",619
"LCD (LED)",623
"LCD (LED)",624
"LCD (LED)",627
"LCD (LED)",630
"LCD (LED)",631
"LCD (LED)",634
"LCD (LED)",635
"LCD (LED)",638
"LCD (LED)",639
"LCD (LED)",640
"LCD (LED)",642
"LCD (LED)",643
"LCD (LED)",645
"LCD (LED)",647
"LCD (LED)",648
"LCD (LED)",649
"LCD (LED)",650
"LCD (LED)",651
"LCD (LED)",653
"LCD (LED)",656
"LCD (LED)",659
"LCD (LED)",660
"LCD (LED)",661
"LCD (LED)",663
"LCD (LED)",664
"LCD (LED)",665
"LCD (LED)",667
"LCD (LED)",670
"LCD (LED)",671
"LCD (LED)",672
"LCD (LED)",674
"LCD (LED)",680
"LCD (LED)",681
"LCD (LED)",682
"LCD (LED)",683
"LCD (LED)",684
"LCD (LED)",685
"LCD (LED)",686
"LCD (LED)",689
"LCD (LED)",690
"LCD (LED)",692
"LCD (LED)",693
"LCD (LED)",696
"LCD (LED)",697
"LCD (LED)",698
"LCD (LED)",703
"LCD (LED)",704
"LCD (LED)",707
"LCD (LED)",711
"LCD (LED)",715
"LCD (LED)",716
"LCD (LED)",717
"LCD (LED)",718
"LCD (LED)",719
"LCD (LED)",720
"LCD (LED)",722
"LCD (LED)",725
"LCD (LED)",726
"LCD (LED)",728
"LCD (LED)",729
"LCD (LED)",730
"LCD (LED)",732
"LCD (LED)",733
"LCD (LED)",737
"LCD (LED)",740
"LCD (LED)",744
"LCD (LED)",748
"LCD (LED)",750
"LCD (LED)",751
"LCD (LED)",754
"LCD (LED)",755
"LCD (LED)",758
"LCD (LED)",760
"LCD (LED)",762
"LCD (LED)",764
"LCD (LED)",765
"LCD (LED)",766
"LCD (LED)",768
"LCD (LED)",772
"LCD (LED)",773
"LCD (LED)",776
"LCD (LED)",777
"LCD (LED)",780
"LCD (LED)",781
"LCD (LED)",784
"LCD (LED)",785
"LCD (LED)",788
"LCD (LED)",789
"LCD (LED)",791
"LCD (LED)",793
"LCD (LED)",795
"LCD (LED)",799
"LCD (LED)",805
"LCD (LED)",806
"LCD (LED)",809
"LCD (LED)",810
"LCD (LED)",812
"LCD (LED)",815
"LCD (LED)",817
"LCD (LED)",824
"LCD (LED)",826
"LCD (LED)",828
"LCD (LED)",829
"LCD (LED)",830
"LCD (LED)",835
"LCD (LED)",838
"LCD (LED)",840
"LCD (LED)",845
"LCD (LED)",846
"LCD (LED)",849
"LCD (LED)",850
"LCD (LED)",853
"LCD (LED)",854
"LCD (LED)",859
"LCD (LED)",860
"LCD (LED)",868
"LCD (LED)",869
"LCD (LED)",872
"LCD (LED)",875
"LCD (LED)",877
"LCD (LED)",878
"LCD (LED)",882
"LCD (LED)",886
"LCD (LED)",888
"LCD (LED)",890
"LCD (LED)",893
"LCD (LED)",894
"LCD (LED)",897
"LCD (LED)",898
"LCD (LED)",902
"LCD (LED)",904
"LCD (LED)",905
"LCD (LED)",908
"LCD (LED)",909
"LCD (LED)",915
"LCD (LED)",916
"LCD (LED)",925
"LCD (LED)",937
"LCD (LED)",940
"LCD (LED)",941
"LCD (LED)",944
"LCD (LED)",945
"LCD (LED)",948
"LCD (LED)",952
"LCD (LED)",955
"LCD (LED)",956
"LCD (LED)",959
"LCD (LED)",962
"LCD (LED)",963
"LCD (LED)",969
"LCD (LED)",970
"LCD (LED)",974
"LCD (LED)",975
"LCD (LED)",978
"LCD (LED)",980
"LCD (LED)",985
"LCD (LED)",988
"LCD (LED)",992
"LCD (LED)",999
"LCD (LED)",1000
"LCD (LED)",1002
"LCD (LED)",1010
"LCD (LED)",1025
"LCD (LED)",1028
"LCD (LED)",1032
"LCD (LED)",1034
"LCD (LED)",1043
"LCD (LED)",1047
"LCD (LED)",1054
"LCD (LED)",1058
"LCD (LED)",1060
"LCD (LED)",1069
"LCD (LED)",1070
"LCD (LED)",1076
"LCD (LED)",1079
"LCD (LED)",1087
"LCD (LED)",1088
"LCD (LED)",1090
"LCD (LED)",1109
"LCD (LED)",1113
"LCD (LED)",1116
"LCD (LED)",1117
"LCD (LED)",1118
"LCD (LED)",1120
"LCD (LED)",1122
"LCD (LED)",1127
"LCD (LED)",1130
"LCD (LED)",1135
"LCD (LED)",1142
"LCD (LED)",1157
"LCD (LED)",1163
"LCD (LED)",1170
"LCD (LED)",1174
"LCD (LED)",1178
"LCD (LED)",1190
"LCD (LED)",1200
"LCD (LED)",1201
"LCD (LED)",1208
"LCD (LED)",1215
"LCD (LED)",1229
"LCD (LED)",1233
"LCD (LED)",1237
"LCD (LED)",1240
"LCD (LED)",1244
